Date,Peche,Temperature,Debit
1977-10-30,Ouverte,5.3,129.124698779828
1977-10-31,Ouverte,3.3,129.407866978907
1978-04-01,Ouverte,8.65,285.999881069356
1978-04-02,Ouverte,7.2,305.821655004856
1978-04-03,Ouverte,5.55,305.821655004856
1978-04-04,Ouverte,8.35,285.999881069356
1978-04-05,Ouverte,8.05,251.453360781771
1978-04-06,Ouverte,5,229.649409452721
1978-04-07,Ouverte,3.9,194.253384567899
1978-04-08,Ouverte,8.35,201.898925943021
1978-04-09,Ouverte,7.5,195.386057364214
1978-04-10,Ouverte,9.4,194.253384567899
1978-04-11,Ouverte,7.2,190.005861581721
1978-04-12,Ouverte,6.4,191.704870776192
1978-04-13,Ouverte,4.75,189.439525183564
1978-04-14,Ouverte,6.95,185.758338595542
1978-04-15,Ouverte,9.45,176.980124424107
1978-04-16,Ouverte,10.3,177.546460822264
1978-04-17,Ouverte,5.8,184.059329401071
1978-04-18,Ouverte,8.6,188.590020586328
1978-04-19,Ouverte,8.3,186.3246749937
1978-04-20,Ouverte,10.3,178.112797220421
1978-04-21,Ouverte,6.95,178.679133618578
1978-04-22,Ouverte,7.75,183.492993002914
1978-04-23,Ouverte,6.95,178.3959654195
1978-04-24,Ouverte,8.85,170.4672558453
1978-04-25,Ouverte,13.6,164.52072366465
1978-04-26,Ouverte,13.9,163.954387266492
1978-04-27,Ouverte,13.05,171.883096840692
1978-04-28,Ouverte,14.15,185.475170396464
1978-04-29,Ouverte,12.5,201.898925943021
1978-04-30,Ouverte,13.05,206.995953526435
1978-05-01,Ouverte,13.9,207.845458123671
1978-05-02,Ouverte,12.2,218.889017887735
1978-05-03,Ouverte,10.25,244.940492202964
1978-05-04,Ouverte,6.95,255.984051967028
1978-05-05,Ouverte,6.1,252.302865379006
1978-05-06,Ouverte,7.75,247.205837795592
1978-05-07,Ouverte,10,240.692969216785
1978-05-08,Ouverte,9.7,232.764259642585
1978-05-09,Ouverte,13.6,218.039513290499
1978-05-10,Ouverte,13.85,206.146448929199
1978-05-11,Ouverte,10.85,210.393971915378
1978-05-12,Ouverte,11.65,225.118718267464
1978-05-13,Ouverte,14.45,227.667232059171
1978-05-14,Ouverte,19.75,220.871195281285
1978-05-15,Ouverte,16.4,223.702877272071
1978-05-16,Ouverte,11.4,255.417715568871
1978-05-17,Ouverte,9.75,308.653336995642
1978-05-18,Ouverte,9.7,322.811746949571
1978-05-19,Ouverte,13.3,339.801838894285
1978-05-20,Ouverte,13.85,325.643428940356
1978-05-21,Ouverte,15.25,305.821655004856
1978-05-22,Ouverte,14.7,291.663245050928
1978-05-23,Ouverte,9.75,300.158291023285
1978-05-24,Ouverte,11.4,325.643428940356
1978-05-25,Ouverte,8.9,362.45529482057
1978-05-26,Ouverte,10,365.286976811356
1978-05-27,Ouverte,12.5,336.970156903499
1978-05-28,Ouverte,15.55,305.821655004856
1978-05-29,Ouverte,11.65,288.831563060142
1978-05-30,Ouverte,10.85,285.999881069356
1978-05-31,Ouverte,8.9,279.770180689628
1978-06-01,Ouverte,12.5,271.841471115428
1978-06-02,Ouverte,13.9,255.134547369792
1978-06-03,Ouverte,16.15,240.126632818628
1978-06-04,Ouverte,17.8,233.047427841664
1978-06-05,Ouverte,18.9,229.366241253642
1978-06-06,Ouverte,21.1,251.170192582692
1978-06-07,Ouverte,18.9,288.831563060142
1978-06-08,Ouverte,20.55,353.960248848213
1978-06-09,Ouverte,18.05,385.108750746856
1978-06-10,Ouverte,14.45,419.088934636285
1978-06-11,Ouverte,15,450.237436534927
1978-06-12,Ouverte,16.35,441.74239056257
1978-06-13,Ouverte,20,387.940432737642
1978-06-14,Ouverte,17.5,368.118658802142
1978-06-15,Ouverte,15.55,373.782022783713
1978-06-16,Ouverte,12.75,379.445386765285
1978-06-17,Ouverte,16.95,362.45529482057
1978-06-18,Ouverte,18.85,334.138474912713
1978-06-19,Ouverte,11.1,322.811746949571
1978-06-20,Ouverte,14.45,317.148382967999
1978-06-21,Ouverte,18.05,317.148382967999
1978-06-22,Ouverte,18.9,314.316700977213
1978-06-23,Ouverte,18.6,311.485018986428
1978-06-24,Ouverte,18.05,305.821655004856
1978-06-25,Ouverte,13.65,319.980064958785
1978-06-26,Ouverte,17.8,336.970156903499
1978-06-27,Ouverte,17.75,308.653336995642
1978-06-28,Ouverte,21.95,283.168199078571
1978-06-29,Ouverte,22.75,270.142461920956
1978-06-30,Ouverte,21.1,266.178107133856
1978-07-01,Ouverte,19.15,265.328602536621
1978-07-02,Ouverte,20.3,264.762266138464
1978-07-03,Ouverte,18.05,266.744443532014
1978-07-04,Ouverte,13.6,275.522657703449
1978-07-05,Ouverte,13.85,288.831563060142
1978-07-06,Ouverte,17.25,300.158291023285
1978-07-07,Ouverte,18.05,291.663245050928
1978-07-08,Ouverte,16.95,269.859293721878
1978-07-09,Ouverte,18.65,257.116724763342
1978-07-10,Ouverte,21.1,250.320687985457
1978-07-11,Ouverte,19.45,240.409801017707
1978-07-12,Ouverte,17.2,228.233568457328
1978-07-13,Ouverte,19.7,209.827635517221
1978-07-14,Fermée,20.8,190.005861581721
1978-07-15,Fermée,23.35,175.564283428714
1978-07-16,Fermée,20.8,173.865274234242
1978-07-17,Ouverte,18.6,163.671219067414
1978-07-18,Ouverte,18.6,163.954387266492
1978-07-19,Ouverte,15.85,156.875182289528
1978-07-20,Ouverte,16.65,156.308845891371
1978-07-21,Ouverte,16.4,167.069237456357
1978-07-22,Ouverte,18.6,162.5385462711
1978-07-23,Fermée,21.95,155.176173095057
1978-07-24,Fermée,22.75,146.964295321778
1978-07-25,Fermée,22.5,135.637567358635
1978-07-26,Fermée,22.5,124.027671196414
1978-07-27,Fermée,25.3,112.700943233271
1978-07-28,Fermée,20.25,102.506888066443
1978-07-29,Fermée,21.95,108.170252048014
1978-07-30,Fermée,21.95,105.904906455385
1978-07-31,Fermée,22.75,104.772233659071
1978-08-01,Fermée,19.2,98.5425332793426
1978-08-02,Fermée,16.4,89.1979827097498
1978-08-03,Fermée,18.05,84.1009551263355
1978-08-04,Fermée,20.55,80.9861049364712
1978-08-05,Fermée,23.35,78.4375911447641
1978-08-06,Fermée,23.3,75.8890773530569
1978-08-07,Fermée,24.15,71.924722565957
1978-08-08,Fermée,22.2,67.960367778857
1978-08-09,Fermée,23.6,66.2613585843855
1978-08-10,Fermée,24.15,63.4296765935998
1978-08-11,Fermée,22.5,58.049480811107
1978-08-12,Fermée,21.95,56.6336398157141
1978-08-13,Ouverte,15.8,58.6158172092641
1978-08-14,Ouverte,16.4,66.2613585843855
1978-08-15,Ouverte,18.65,65.4118539871498
1978-08-16,Ouverte,15.85,67.960367778857
1978-08-17,Ouverte,10.3,76.7385819502927
1978-08-18,Ouverte,13.6,80.1366003392355
1978-08-19,Ouverte,15.3,86.6494689180426
1978-08-20,Ouverte,18.65,90.3306555060641
1978-08-21,Ouverte,17.75,91.4633283023783
1978-08-22,Ouverte,16.95,87.4989735152783
1978-08-23,Ouverte,15.85,84.9504597235712
1978-08-24,Ouverte,19.7,84.9504597235712
1978-08-25,Ouverte,19.4,84.6672915244926
1978-08-26,Ouverte,16.35,84.6672915244926
1978-08-27,Ouverte,17.2,85.7999643208069
1978-08-28,Ouverte,14.2,89.1979827097498
1978-08-29,Ouverte,18.35,90.6138237051426
1978-08-30,Ouverte,18.05,90.8969919042212
1978-08-31,Ouverte,18.35,90.0474873069855
1978-09-01,Ouverte,19.15,90.0474873069855
1978-09-02,Ouverte,21.4,90.0474873069855
1978-09-03,Ouverte,20.55,88.9148145106712
1978-09-04,Ouverte,21.95,88.0653099134355
1978-09-05,Ouverte,20.25,86.3663007189641
1978-09-06,Ouverte,21.4,87.4989735152783
1978-09-07,Ouverte,21.95,92.312832899614
1978-09-08,Ouverte,15.25,96.8435240848712
1978-09-09,Ouverte,16.1,99.9583742747355
1978-09-10,Ouverte,16.1,98.8257014784212
1978-09-11,Ouverte,9.75,106.188074654464
1978-09-12,Ouverte,6.95,136.487071955871
1978-09-13,Ouverte,10.85,160.273200678471
1978-09-14,Ouverte,13.35,165.087060062807
1978-09-15,Ouverte,12.8,152.061322905192
1978-09-16,Ouverte,10.6,146.6811271227
1978-09-17,Ouverte,6.35,143.283108733757
1978-09-18,Ouverte,6.65,144.69894972915
1978-09-19,Ouverte,7.25,163.671219067414
1978-09-20,Ouverte,7.5,160.273200678471
1978-09-21,Ouverte,10.55,159.140527882157
1978-09-22,Ouverte,12.25,163.954387266492
1978-09-23,Ouverte,14.4,158.857359683078
1978-09-24,Ouverte,15,156.875182289528
1978-09-25,Ouverte,16.65,156.59201409045
1978-09-26,Ouverte,18.9,155.742509493214
1978-09-27,Ouverte,17.2,156.308845891371
1978-09-28,Ouverte,13.35,158.291023284921
1978-09-29,Ouverte,13.6,159.990032479392
1978-09-30,Ouverte,13.35,153.760332099664
1978-10-01,Ouverte,11.4,150.6454819098
1978-10-02,Ouverte,8.65,148.380136317171
1978-10-03,Ouverte,8.05,147.247463520857
1978-10-04,Ouverte,8.35,146.114790724542
1978-10-05,Ouverte,8.05,144.982117928228
1978-10-06,Ouverte,9.15,143.849445131914
1978-10-07,Ouverte,11.65,142.7167723356
1978-10-08,Ouverte,13.6,142.433604136521
1978-10-09,Ouverte,12.5,141.017763141128
1978-10-10,Ouverte,11.4,142.433604136521
1978-10-11,Ouverte,13.85,142.150435937442
1978-10-12,Ouverte,5.55,145.831622525464
1978-10-13,Ouverte,5,145.831622525464
1978-10-14,Ouverte,8.65,144.132613330992
1978-10-15,Ouverte,9.75,144.982117928228
1978-10-16,Ouverte,10.8,144.982117928228
1978-10-17,Ouverte,8.85,145.265286127307
1978-10-18,Ouverte,8.05,147.530631719935
1978-10-19,Ouverte,10.3,149.229640914407
1978-10-20,Ouverte,9.7,149.795977312564
1978-10-21,Ouverte,6.95,148.66330451625
1978-10-22,Ouverte,3.05,147.247463520857
1978-10-23,Ouverte,8.05,146.964295321778
1978-10-24,Ouverte,8.05,143.849445131914
1978-10-25,Ouverte,2.25,143.283108733757
1978-10-26,Ouverte,6.65,144.69894972915
1978-10-27,Ouverte,9.45,144.415781530071
1978-10-28,Ouverte,8.9,145.831622525464
1978-10-29,Ouverte,3.35,147.247463520857
1978-10-30,Ouverte,0.55,149.512809113485
1978-10-31,Ouverte,-0.55,147.813799919014
1979-04-01,Ouverte,-1.4,146.397958923621
1979-04-02,Ouverte,-1.4,140.73459494205
1979-04-03,Ouverte,-1.65,139.318753946657
1979-04-04,Ouverte,6.7,138.186081150343
1979-04-05,Ouverte,10.55,137.902912951264
1979-04-06,Ouverte,10,144.69894972915
1979-04-07,Ouverte,7.75,164.52072366465
1979-04-08,Ouverte,7.8,175.847451627792
1979-04-09,Ouverte,6.4,175.847451627792
1979-04-10,Ouverte,3.35,176.130619826871
1979-04-11,Ouverte,3.05,172.166265039771
1979-04-12,Ouverte,5,164.237555465571
1979-04-13,Ouverte,6.4,159.140527882157
1979-04-14,Ouverte,7.5,157.724686886764
1979-04-15,Ouverte,8.35,157.724686886764
1979-04-16,Ouverte,11.15,161.689041673864
1979-04-17,Ouverte,8.9,164.237555465571
1979-04-18,Ouverte,3.35,186.891011391857
1979-04-19,Ouverte,4.45,207.279121725514
1979-04-20,Ouverte,3.9,210.110803716299
1979-04-21,Ouverte,5.25,197.368234757764
1979-04-22,Ouverte,7.25,183.492993002914
1979-04-23,Ouverte,1.35,188.023684188171
1979-04-24,Ouverte,1.35,203.881103336571
1979-04-25,Ouverte,5.55,220.021690684049
1979-04-26,Ouverte,8.6,218.889017887735
1979-04-27,Ouverte,9.45,209.544467318142
1979-04-28,Ouverte,9.7,210.393971915378
1979-04-29,Ouverte,8.85,228.233568457328
1979-04-30,Ouverte,10,252.869201777164
1979-05-01,Ouverte,6.95,269.859293721878
1979-05-02,Ouverte,9.75,274.673153106214
1979-05-03,Ouverte,8.9,272.974143911742
1979-05-04,Ouverte,10.55,264.195929740306
1979-05-05,Ouverte,13.05,262.213752346756
1979-05-06,Ouverte,7.5,266.178107133856
1979-05-07,Ouverte,6.65,265.328602536621
1979-05-08,Ouverte,6.1,249.754351587299
1979-05-09,Ouverte,6.4,228.233568457328
1979-05-10,Ouverte,6.15,209.544467318142
1979-05-11,Ouverte,11.95,197.368234757764
1979-05-12,Ouverte,11.1,184.908833998307
1979-05-13,Ouverte,13.6,179.245470016735
1979-05-14,Ouverte,11.4,178.3959654195
1979-05-15,Ouverte,14.75,183.776161201992
1979-05-16,Ouverte,13.1,197.368234757764
1979-05-17,Ouverte,12.8,222.003868077599
1979-05-18,Ouverte,13.9,244.090987605728
1979-05-19,Ouverte,12.75,257.116724763342
1979-05-20,Ouverte,12.5,265.611770735699
1979-05-21,Ouverte,16.4,265.894938934778
1979-05-22,Ouverte,15.85,265.611770735699
1979-05-23,Ouverte,16.9,278.071171495156
1979-05-24,Ouverte,16.1,302.989973014071
1979-05-25,Ouverte,16.65,328.475110931142
1979-05-26,Ouverte,18.85,348.296884866642
1979-05-27,Ouverte,16.95,368.118658802142
1979-05-28,Ouverte,9.45,404.930524682356
1979-05-29,Ouverte,9.15,464.395846488856
1979-05-30,Ouverte,7.8,433.247344590213
1979-05-31,Ouverte,10.85,365.286976811356
1979-06-01,Ouverte,11.7,305.821655004856
1979-06-02,Ouverte,15.85,264.479097939385
1979-06-03,Ouverte,17.2,234.746437036135
1979-06-04,Ouverte,19.15,222.570204475757
1979-06-05,Ouverte,19.75,225.118718267464
1979-06-06,Ouverte,10.25,229.649409452721
1979-06-07,Ouverte,7.5,250.887024383614
1979-06-08,Ouverte,8.6,240.409801017707
1979-06-09,Ouverte,13.35,217.756345091421
1979-06-10,Ouverte,16.7,199.633580350392
1979-06-11,Ouverte,19.75,188.023684188171
1979-06-12,Ouverte,21.1,181.227647410285
1979-06-13,Ouverte,19.7,182.643488405678
1979-06-14,Ouverte,15.85,194.536552766978
1979-06-15,Ouverte,15,200.19991674855
1979-06-16,Ouverte,16.35,190.005861581721
1979-06-17,Ouverte,15.55,177.263292623185
1979-06-18,Ouverte,16.1,177.263292623185
1979-06-19,Ouverte,15.55,220.871195281285
1979-06-20,Ouverte,15.55,283.168199078571
1979-06-21,Ouverte,15,274.673153106214
1979-06-22,Ouverte,15.3,253.435538175321
1979-06-23,Ouverte,16.95,238.993960022314
1979-06-24,Ouverte,19.15,225.685054665621
1979-06-25,Ouverte,21.1,210.960308313535
1979-06-26,Ouverte,22.5,199.350412151314
1979-06-27,Fermée,21.9,189.439525183564
1979-06-28,Fermée,19.75,183.209824803835
1979-06-29,Fermée,20.55,175.281115229635
1979-06-30,Fermée,16.7,157.158350488607
1979-07-01,Ouverte,15.3,154.6098366969
1979-07-02,Ouverte,15.25,146.397958923621
1979-07-03,Ouverte,18.6,133.372221766007
1979-07-04,Fermée,21.1,124.594007594571
1979-07-05,Fermée,21.95,113.550447830507
1979-07-06,Fermée,22.75,108.453420247093
1979-07-07,Fermée,20.85,106.471242853543
1979-07-08,Fermée,21.35,98.5425332793426
1979-07-09,Fermée,21.4,88.0653099134355
1979-07-10,Fermée,20.8,81.5524413346284
1979-07-11,Fermée,20.3,76.7385819502927
1979-07-12,Fermée,19.75,74.7564045567427
1979-07-13,Fermée,17.8,70.7920497696427
1979-07-14,Fermée,18.6,57.4831444129499
1979-07-15,Fermée,18.65,60.031658204657
1979-07-16,Fermée,19.15,58.3326490101856
1979-07-17,Fermée,23.35,55.5009670193999
1979-07-18,Fermée,24.15,52.3861168295356
1979-07-19,Fermée,24.15,49.2712666396713
1979-07-20,Fermée,23.85,47.5722574451999
1979-07-21,Fermée,24.2,48.138593843357
1979-07-22,Fermée,21.95,47.0059210470427
1979-07-23,Fermée,22.25,48.7049302415142
1979-07-24,Fermée,20,50.120771236907
1979-07-25,Fermée,18.9,49.2712666396713
1979-07-26,Fermée,20.6,49.2712666396713
1979-07-27,Fermée,21.1,48.9880984405927
1979-07-28,Fermée,18.05,48.9880984405927
1979-07-29,Fermée,20.3,52.6692850286142
1979-07-30,Fermée,22.5,54.6514624221641
1979-07-31,Fermée,21.95,52.6692850286142
1979-08-01,Fermée,22.75,51.5366122322999
1979-08-02,Fermée,22.2,50.4039394359856
1979-08-03,Fermée,20,48.9880984405927
1979-08-04,Fermée,22.2,47.8554256442784
1979-08-05,Fermée,25.3,47.0059210470427
1979-08-06,Fermée,22.75,47.2890892461213
1979-08-07,Fermée,22.8,46.7227528479642
1979-08-08,Fermée,22.25,46.4395846488856
1979-08-09,Fermée,21.1,47.2890892461213
1979-08-10,Fermée,20.55,47.0059210470427
1979-08-11,Fermée,21.15,46.156416449807
1979-08-12,Fermée,18.05,46.156416449807
1979-08-13,Ouverte,15.25,47.0059210470427
1979-08-14,Ouverte,19.45,51.8197804313784
1979-08-15,Fermée,19.45,56.067303417557
1979-08-16,Fermée,19.7,62.013835598207
1979-08-17,Fermée,20.3,65.1286857880713
1979-08-18,Fermée,18.9,65.6950221862284
1979-08-19,Fermée,19.7,63.7128447926784
1979-08-20,Fermée,19.7,66.2613585843855
1979-08-21,Fermée,18.35,68.2435359779355
1979-08-22,Fermée,18.6,74.1900681585855
